Dataset,PublishTime,StartTime,SettlementDate,SettlementPeriod,FuelType,Generation
FUELHH,2022-11-10T06:00:00Z,2022-11-10T05:30:00Z,2022-11-10,12,INTELEC,-1024
FUELHH,2022-11-10T06:00:00Z,2022-11-10T05:30:00Z,2022-11-10,12,INTEW,504
FUELHH,2022-11-10T06:00:00Z,2022-11-10T05:30:00Z,2022-11-10,12,INTFR,-1030
FUELHH,2022-11-10T06:00:00Z,2022-11-10T05:30:00Z,2022-11-10,12,INTIFA2,-1028
FUELHH,2022-11-10T06:00:00Z,2022-11-10T05:30:00Z,2022-11-10,12,INTIRL,376
FUELHH,2022-11-10T06:00:00Z,2022-11-10T05:30:00Z,2022-11-10,12,INTNED,-1074
FUELHH,2022-11-10T06:00:00Z,2022-11-10T05:30:00Z,2022-11-10,12,INTNEM,-1020
FUELHH,2022-11-10T06:00:00Z,2022-11-10T05:30:00Z,2022-11-10,12,INTNSL,658
FUELHH,2022-11-10T06:00:00Z,2022-11-10T05:30:00Z,2022-11-10,12,NPSHYD,448
FUELHH,2022-11-10T06:00:00Z,2022-11-10T05:30:00Z,2022-11-10,12,NUCLEAR,4634
FUELHH,2022-11-10T06:00:00Z,2022-11-10T05:30:00Z,2022-11-10,12,OCGT,0
FUELHH,2022-11-10T06:00:00Z,2022-11-10T05:30:00Z,2022-11-10,12,OIL,0
FUELHH,2022-11-10T06:00:00Z,2022-11-10T05:30:00Z,2022-11-10,12,OTHER,104
FUELHH,2022-11-10T06:00:00Z,2022-11-10T05:30:00Z,2022-11-10,12,PS,-1400
FUELHH,2022-11-10T06:00:00Z,2022-11-10T05:30:00Z,2022-11-10,12,WIND,13419
FUELHH,2022-11-10T05:30:00Z,2022-11-10T05:00:00Z,2022-11-10,11,BIOMASS,1471
FUELHH,2022-11-10T05:30:00Z,2022-11-10T05:00:00Z,2022-11-10,11,CCGT,4213
FUELHH,2022-11-10T05:30:00Z,2022-11-10T05:00:00Z,2022-11-10,11,COAL,0
FUELHH,2022-11-10T05:30:00Z,2022-11-10T05:00:00Z,2022-11-10,11,INTELEC,-1024
FUELHH,2022-11-10T05:30:00Z,2022-11-10T05:00:00Z,2022-11-10,11,INTEW,444
FUELHH,2022-11-10T05:30:00Z,2022-11-10T05:00:00Z,2022-11-10,11,INTFR,-1028
FUELHH,2022-11-10T05:30:00Z,2022-11-10T05:00:00Z,2022-11-10,11,INTIFA2,-1028
FUELHH,2022-11-10T05:30:00Z,2022-11-10T05:00:00Z,2022-11-10,11,INTIRL,248
